id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
280067128,SR,Abierta,Acera,20,SAN BLAS-CANILLEJAS,ROSAS
270068967,JURUCHA,Abierta,Acera,4,SALAMANCA,RECOLETOS
270403150,HONTANARES,Cerrada,Acera,4,SALAMANCA,GUINDALERA
270078567,BAR MARISQUERIA LUIS,Cerrada,Calle peatonal,4,SALAMANCA,GUINDALERA
40002021,SAGAR,Cerrada,Calle peatonal,4,SALAMANCA,GUINDALERA
40002808,WAGABOO,Abierta,Acera,4,SALAMANCA,RECOLETOS
270495851,THE JAMES JOYCE IRISH PUB,Abierta,Acera,4,SALAMANCA,RECOLETOS
40001459,HOTEL ABBA MADRID,Cerrada,Acera,4,SALAMANCA,GUINDALERA
180000457,LA PLAZA,Abierta,Plaza peatonal,18,VILLA DE VALLECAS,CASCO H.VALLECAS
270076142,EL NUEVO RINC?N DE JA?N,Cerrada,Acera,4,SALAMANCA,GUINDALERA
270071068,VIENA CAPELLANES,Abierta,Acera,4,SALAMANCA,GOYA
280062208,BAR LAS TORRES,Abierta,Acera,17,VILLAVERDE,SAN CRISTOBAL
170000773,KEBAB ARMENIA,Abierta,Acera,17,VILLAVERDE,LOS ROSALES
270075832,CAFETERIA PARISIENA,Abierta,Acera,4,SALAMANCA,FUENTE DEL BERRO
40001037,BAR-RESTAURANTE,Abierta,Acera,4,SALAMANCA,RECOLETOS
180000598,EL RINCON DEL TIO PEPE,Abierta,Acera,18,VILLA DE VALLECAS,CASCO H.VALLECAS
270266255,BAR  SAN JULIAN,Abierta,Acera,18,VILLA DE VALLECAS,CASCO H.VALLECAS
200000837,BAR JOSUE,Abierta,Acera,20,SAN BLAS-CANILLEJAS,SIMANCAS
280067055,RESTAURANTE BAR TORRES,Abierta,Acera,20,SAN BLAS-CANILLEJAS,REJAS
270201818,BONGO CAFE,Abierta,Acera,17,VILLAVERDE,SAN ANDRES
270380946,EL ARBOL Y LA TOSTA,Abierta,Acera,4,SALAMANCA,RECOLETOS
210000683,BURGER KING,Abierta,Acera,21,BARAJAS,TIMON
280060978,RESTAURANTE 40 & CUATRO,Abierta,Acera,18,VILLA DE VALLECAS,ENSANCHE DE VALLECAS
270202022,BAR-RESTAURANTE,Abierta,Calle peatonal,18,VILLA DE VALLECAS,CASCO H.VALLECAS
170001120,CERVECERIA MINERVA,Abierta,Acera,17,VILLAVERDE,BUTARQUE
170000836,BAR DONDE SIEMPRE,Abierta,Plaza peatonal,17,VILLAVERDE,LOS ROSALES
170001098,LA PARADA ESQUINA,Abierta,Acera,17,VILLAVERDE,LOS ROSALES
270228707,BURGUER CAROVI,Abierta,Acera,17,VILLAVERDE,SAN ANDRES
170000967,A GAIVOTI?A II,Abierta,Acera,17,VILLAVERDE,LOS ANGELES
170000259,PE?A DE FRANCIA,Abierta,Acera,17,VILLAVERDE,LOS ANGELES
270456160,LUCKY,Abierta,Acera,17,VILLAVERDE,SAN ANDRES
170002005,EL KUBO,Abierta,Plaza peatonal,17,VILLAVERDE,LOS ANGELES
270181857,BAR ASTURIAS,Abierta,Plaza peatonal,17,VILLAVERDE,SAN ANDRES
270379680,LA ABUELA,Abierta,Acera,17,VILLAVERDE,LOS ROSALES
170000257,BAR PEMA,Abierta,Acera,17,VILLAVERDE,LOS ANGELES
270286727,CASA MONICA,Abierta,Acera,17,VILLAVERDE,LOS ANGELES
180000366,EL JARDIN DEL BACO,Abierta,Acera,18,VILLA DE VALLECAS,SANTA EUGENIA
